question_id,chapter,subject,standard,difficulty,answer_type,correct_answer,option_a,option_b,option_c,option_d,question
Ph_Mec_11_0,Mechanics,Physics,11,0.22,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ph_Mec_11_1,Mechanics,Physics,11,0.36,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ph_Mec_11_2,Mechanics,Physics,11,0.67,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ph_Mec_11_3,Mechanics,Physics,11,0.22,MCQ,D,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 15°, its acceleration along the incline is:"
Ph_Mec_11_4,Mechanics,Physics,11,0.55,MCQ,A,25/2,10,5/2,2/5,Which of the following is an expression for centripetal acceleration for speed 5 on radius 2?
Ph_Mec_11_5,Mechanics,Physics,11,0.7,MCQ,A,64/2,16,8/2,2/8,Which of the following is an expression for centripetal acceleration for speed 8 on radius 2?
Ph_Mec_11_6,Mechanics,Physics,11,0.49,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ph_Mec_11_7,Mechanics,Physics,11,0.39,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ph_Mec_11_8,Work and Energy,Physics,11,0.2,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ph_Mec_11_9,Work and Energy,Physics,11,0.31,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ph_Opt_11_0,Work and Energy,Physics,11,0.39,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ph_Opt_11_1,Work and Energy,Physics,11,0.26,MCQ,B,2 N,3 N,4 N,5 N,A body of mass 3 kg accelerates at 1 m/s². The net force on it is:
Ph_Opt_11_2,Work and Energy,Physics,11,0.62,MCQ,A,36/3,18,6/3,3/6,Which of the following is an expression for centripetal acceleration for speed 6 on radius 3?
Ph_Opt_11_3,Work and Energy,Physics,11,0.23,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ph_Opt_11_4,Work and Energy,Physics,11,0.29,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ph_Opt_11_5,Work and Energy,Physics,11,0.59,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ph_Opt_11_6,Kinematics,Physics,11,0.64,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ph_Opt_11_7,Kinematics,Physics,11,0.45,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ph_Opt_11_8,Kinematics,Physics,11,0.66,MCQ,B,0 N,1 N,2 N,3 N,A body of mass 1 kg accelerates at 1 m/s². The net force on it is:
Ph_Opt_11_9,Kinematics,Physics,11,0.4,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
